Q1,T1,Tsp
0.0,23.541,23.251
0.0,23.477,23.251
0.0,23.541,23.251
0.0,23.477,23.251
0.0,23.509,23.251
0.0,23.477,23.251
0.0,23.477,23.251
0.0,23.509,23.251
0.0,23.509,23.251
0.0,23.541,23.251
0.0,23.541,23.251
0.0,23.573,23.251
0.0,23.477,23.251
0.0,23.477,23.251
0.0,23.541,23.251
0.0,23.477,23.251
0.0,23.541,23.251
0.0,23.573,23.251
0.0,23.509,23.251
0.0,23.541,23.251
0.0,23.509,23.251
0.0,23.509,23.251
0.0,23.477,23.251
0.0,23.509,23.251
0.0,23.573,23.251
0.0,23.509,23.251
0.0,23.509,23.251
0.0,23.509,23.251
0.0,23.509,23.251
0.0,23.541,23.251
100.0,23.541,51.0
100.0,23.67,51.0
100.0,23.702,51.0
100.0,23.734,51.0
100.0,23.734,51.0
100.0,23.767,51.0
100.0,23.799,51.0
100.0,23.799,51.0
100.0,23.831,51.0
100.0,23.992,51.0
100.0,24.089,51.0
100.0,24.121,51.0
100.0,24.282,51.0
100.0,24.443,51.0
100.0,24.476,51.0
100.0,24.733,51.0
100.0,24.798,51.0
100.0,25.088,51.0
100.0,25.088,51.0
100.0,25.378,51.0
100.0,25.442,51.0
100.0,25.732,51.0
100.0,26.022,51.0
100.0,26.055,51.0
100.0,26.377,51.0
100.0,26.667,51.0
100.0,26.699,51.0
100.0,27.021,51.0
100.0,27.312,51.0
100.0,27.344,51.0
100.0,27.666,51.0
100.0,27.924,51.0
100.0,27.988,51.0
100.0,28.311,51.0
100.0,28.536,51.0
100.0,28.729,51.0
100.0,28.955,51.0
100.0,29.277,51.0
100.0,29.6,51.0
100.0,29.729,51.0
100.0,29.922,51.0
100.0,30.244,51.0
100.0,30.534,51.0
100.0,30.631,51.0
100.0,30.889,51.0
100.0,31.211,51.0
100.0,31.437,51.0
100.0,31.598,51.0
100.0,31.855,51.0
100.0,32.178,51.0
100.0,32.403,51.0
100.0,32.5,51.0
100.0,32.822,51.0
100.0,33.112,51.0
100.0,33.209,51.0
100.0,33.467,51.0
100.0,33.789,51.0
100.0,34.047,51.0
100.0,34.176,51.0
100.0,34.434,51.0
98.76397142189026,34.756,51.0
98.30035958473206,35.046,51.0
98.79295269624711,35.175,51.0
98.6915712951851,35.4,51.0
98.17683764326097,35.69,51.0
97.43787025026323,36.013,51.0
98.44308718904495,36.045,51.0
97.6827182814026,36.367,51.0
96.8961938815689,36.689,51.0
96.86231992742537,36.883,51.0
96.81851852003098,37.076,51.0
96.36446632650373,37.334,51.0
96.28468973630905,37.527,51.0
96.57883635618211,37.656,51.0
95.68325124118806,37.979,51.0
95.16241530635835,38.236,51.0
95.78848160373687,38.301,51.0
94.84761233402254,38.623,51.0
94.26973656425477,38.881,51.0
94.85048123064041,38.945,51.0
93.85179645486832,39.268,51.0
92.83348829637526,39.59,51.0
93.35734142259597,39.654,51.0
92.69704041551591,39.912,51.0
92.01620099100113,40.17,51.0
92.29336240196227,40.267,51.0
91.38948779554366,40.557,51.0
91.24637138296126,40.718,51.0
91.09069074056627,40.879,51.0
90.13757857795719,41.169,51.0
90.53508034521106,41.233,51.0
89.55326004798889,41.523,51.0
88.54872400405883,41.813,51.0
89.0831136689377,41.846,51.0
88.05233696910857,42.136,51.0
87.97783338596344,42.265,51.0
87.30872509414672,42.49,51.0
86.22687901222228,42.78,51.0
86.68434635862349,42.813,51.0
85.77735212587356,43.07,51.0
86.01670363897325,43.135,51.0
84.88271909851076,43.425,51.0
85.10017858907702,43.489,51.0
83.9380336434555,43.779,51.0
84.12089335826875,43.844,51.0
83.12497544506076,44.102,51.0
83.09367878719331,44.198,51.0
82.26421785091402,44.424,51.0
81.42234691087724,44.649,51.0
81.34088234064103,44.746,51.0
80.27292967981342,45.004,51.0
80.36354070772174,45.068,51.0
80.44313861593247,45.133,51.0
79.34395971504213,45.391,51.0
79.59836554265976,45.423,51.0
78.67691130788802,45.648,51.0
78.51543489292148,45.745,51.0
